SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,
 Distribution Costs ,55120112,Staff Cost - Staff Welfare,1698.34,765,110,2353.34,
 Distribution Costs ,55120114,Staff Cost - Health Card,1605,104,0,1709,
 Distribution Costs ,55120119,Staff Cost - Civil Id Fees,1015,115,0,1130,
 Distribution Costs ,55120121,Staff Cost - Group Life Insurance,7197.769,696.224,0,7893.993,
 Administrative expenses ,55120124,Staff Cost - Security Guard-Outsourced,16200,2430,1080,17550,
 Distribution Costs ,55120125,Staff Cost - Salary Recharge,-86299.736,0,8459.665,-94759.401,
 Distribution Costs ,55130101,Veh R&M - Mitsubish  #19/6744 - Log-V09,1881.95,0,0,1881.95,
 Distribution Costs ,55130113,Veh R&M - Veh R&M - Nissan#2/22404 - Log-V04,741.75,76.833,0,818.583,
 Distribution Costs ,55130136,Veh R&M - Mitsubishi 16/6825 -  Log-V12,1499.666,181.5,0,1681.166,
 Distribution Costs ,55130154,Veh R&M - Mitsubishi- 5/85020 -  Log-V15,1530.783,82,0,1612.783,
 Distribution Costs ,55130155,Veh R&M - Mitsubishi-9/30258 -  Log-V16,1663.7,400.5,20,2044.2,
 Distribution Costs ,55130156,Veh R&M - Isuzu 19/17885 -  Log-V17,1676.684,308.5,0,1985.184,
 Distribution Costs ,55130157,Veh R&M - Mitsubishi-  5/84205 -  Log-V18,2076.384,70.75,0,2147.134,
 Distribution Costs ,55130158,Veh R&M - Mitsubishi   5/80820 -  Log-V19,1516.132,171.5,0,1687.632,
 Distribution Costs ,55130159,Veh R&M - Mitsubishi   6/90521 -  Log-V20,2412.438,203,0,2615.438,
 Distribution Costs ,55130160,Veh R&M - Isuzu 4/87409 - Cpd(Brn)-V21,1968.033,60.75,0,2028.783,
 Distribution Costs ,55130161,Veh R&M - Isuzu 4/87196 - Cpd(Brn)-V22,1290.634,245,0,1535.634,
 Distribution Costs ,55130162,Veh R&M - Isuzu 5/91368 - Cpd(Brn)-V23,790.5,638.2,0,1428.7,
 Distribution Costs ,55130163,Veh R&M - Isuzu 4/87110 - Cpd(Brn)-V24,822.532,250.75,0,1073.282,
 Distribution Costs ,55130166,Veh R&M - Isuzu 7/27250 - Cpd(Brn)-V26,1475.25,100.25,0,1575.5,
 Distribution Costs ,55130167,Veh R&M - Isuzu 3/77831 - Log,1941.507,175.5,0,2117.007,
 Distribution Costs ,55130168,Veh R&M - Isuzu 3/77637 - Cpd(Brn)-V28,1830.783,46,0,1876.783,
 Distribution Costs ,55130169,Veh R&M - Toyota 5/31762 - Lt-V32,1317.683,153.833,0,1471.516,
 Distribution Costs ,55130173,Veh R&M - Toyota Hiace 9/71879 - Cpd(Lt)-V38,1003.389,71.5,0,1074.889,
 Distribution Costs ,55130176,Veh R&M - Isuzu 13/11116 - Log-V30,1448.702,81,0,1529.702,
 Distribution Costs ,55130177,Veh R&M - Isuzu 13/11282- Log-V31,2103.133,271,0,2374.133,
 Distribution Costs ,55130178,Veh R&M - Isuzu 17/53442-Log-V 34,1232.5,117.5,0,1350,
 Distribution Costs ,55130179,Veh R&M - Toyota 3/11230 - Cpd(Lt)-V42,903.983,35,0,938.983,
 Distribution Costs ,55130180,Veh R&M - Toyota 3/14815 - Cpd(Lt)-V43,755.5,10.25,0,765.75,
 Distribution Costs ,55130182,Veh R&M - Nissan 11/58449 - Cpd-V29,399,71.966,0,470.966,
 Distribution Costs ,55130183,Veh R&M - Isuzu 11/78393 - Log-V39,1998.167,124,0,2122.167,
 Distribution Costs ,55130184,Veh R&M - Isuzu 11/89716 - Log-V40,1769.657,383.5,0,2153.157,
 Distribution Costs ,55130185,Veh R&M - Hyundai 11/74065 - Cpd-V33,178.5,0,0,178.5,
 Distribution Costs ,55130186,Veh R&M - Isuzu 12/83885 - Log-V41,1778.735,175,0,1953.735,
 Distribution Costs ,55130187,DENG FENG 11/58599  - BRN-V45,21,0,0,21,
 Distribution Costs ,55130189,Veh R&M - Hino 13/15597 - V47 Log,1593.75,20.5,0,1614.25,
 Distribution Costs ,55130190,Veh R&M - Van 13/53293 -V48 Cpd,1401.3,150.5,0,1551.8,
 Distribution Costs ,55130193,Veh R&M - 14/26180 - Log Bw Veh,15,0,0,15,
 Distribution Costs ,55130195,Veh R&M - 14/86107 - V52 Cpd Ethnic,2291.665,92.25,0,2383.915,
 Distribution Costs ,55130196,Veh R&M - 14/86011 -  V53 Cpd Ethnic,1350.9,258.584,0,1609.484,
 Distribution Costs ,55130197,Veh R&M - 14/48627 - V54 Cpd Ethnic,1225.9,357.25,0,1583.15,
 Administrative expenses ,55130198,Veh R&M - Fork Lift Maintenance,55,0,0,55,
 Distribution Costs ,55130199,Veh R&M - 14/62180 - V51 Log,1736.5,66,0,1802.5,
 Distribution Costs ,55130200,Veh R&M - 14/76310 - V50 Log,1798.75,165,0,1963.75,
 Distribution Costs ,55130202,Veh R&M - Toyota Coaster 19/64026 Transport Van,654,158,0,812,
 Distribution Costs ,55130203,Veh R&M - 22/60232 Isuzu Half Lorry 2023 Model Log,782.75,10.25,0,793,
 Distribution Costs ,55130204,Veh R&M - 22/60372 Isuzu Half Lorry 2023 Model Log,765.95,70.5,0,836.45,
 Distribution Costs ,55130205,Veh R&M - 22/60464 Isuzu Half Loory 2023 Model Log,799.75,80.5,0,880.25,
 Administrative expenses ,55150101,Audit Fees,3541.67,354.167,0,3895.837,
 Administrative expenses ,55150102,Legal Fees,29391.46,2939.146,0,32330.606,
 Administrative expenses ,55150103,Maintenance -Property,39195.396,5351.014,1936,42610.41,
 Administrative expenses ,55150104,Communication,8894.22,863.51,0,9757.73,
 Administrative expenses ,55150105,Stationary,13826.555,1502.681,154,15175.236,
 Administrative expenses ,55150106,Electricity & Water,23955.768,2580.133,0,26535.901,
 Administrative expenses ,55150107,Rents,261233.33,27248.333,0,288481.663,
 Administrative expenses ,55150108,Traveling Expenses,13426.465,1292.038,0,14718.503,
 Administrative expenses ,55150109,Subscription,1443.81,144.381,0,1588.191,
 Administrative expenses ,55150112,Computer Expenses,19153.59,2822.595,808,21168.185,
 Administrative expenses ,55150113,Courier & Postage,475.116,60.497,0,535.613,
 Administrative expenses ,55150114,Insurance & Others,20250,2025,0,22275,
 Administrative expenses ,55150115,Entertainments,9461.04,866.168,0,10327.208,
 Administrative expenses ,55150116,Office Expenses,18730.153,3552.322,2117,20165.475,
 Administrative expenses ,55150117,Bad & Doubtful Debts,4000,0,0,4000,
 Provision on obsolete inventories ,55150124,Obsolete Stock,-9000,0,0,-9000,
 Administrative expenses ,55150334,Social Security,10929.709,1171.378,0,12101.087,
 Administrative expenses ,55150336,Additional WHS,26934.2,13538.178,12999,27473.378,
 Administrative expenses ,55150338,PENALTY & FINES,25,0,0,25,
 Distribution Costs ,55150339,Additional Trucks,1185,0,0,1185,
 Administrative expenses ,55150340,Mirna Expense,1000,100,0,1100,
 Administrative expenses ,55150341,Online Server,1200,100,0,1300,
 Administrative expenses ,55150344,Pantry Expenses,4250.965,555.093,269,4537.058,
 Administrative expenses ,55150345,Business Lunch,5112.005,519.403,0,5631.408,
 Administrative expenses ,55150348,Sabhan Warehouse Rent,200000,20000,0,220000,
 Management fees ,55150349,Management Fees - TIH,32011.67,3201.167,0,35212.837,
 Administrative expenses ,55150351,License,333,0,0,333,
 Administrative expenses ,55150352,AMC - Annual Maintenance Contract,19411.663,2838.333,0,22249.996,
 Administrative expenses ,55150353,ISO 9001:2015  22000:2018,2907.332,613.333,333,3187.665,
 Depreciation & amortization ,55160102,Depreciation - Cars,6867.772,1249,0,8116.772,
 Depreciation & amortization ,55160103,Depreciation -  Equipment,67764.63,8147,0,75911.63,
 Depreciation & amortization ,55160104,Depreciation - Computers,4401.329,475,0,4876.329,
 Finance Cost ,55170101,Bank Interest,3.25,0,0,3.25,
 Finance Cost ,55170102,Bank Charges,4853.783,444.265,0,5298.048,
 Finance Cost ,55170108,Interest Income - Goodlife,-10697,0,1182,-11879,
 Cash & Chq in Hand ,11110101,Cash on Hand,0,33233.19,33232.69,0.5,
 Cash & Chq in Hand ,11110102,Petty Cash - Head Office,1261.545,8078,7582.02,1757.525,
 Cash & Chq in Hand ,11110120,Cash on Hand - HHT,-40.263,2588.607,2548.345,-0.001,
 Cash & Chq in Hand ,11110122,Petty Cash - Imprest - Logistics,500,0,0,500,
 Cash & Chq in Hand ,11110123,Petty Cash - Imprest - HR,500,0,0,500,
 Cash & Chq in Hand ,11110125,Petty Cash - Imprest - Office Admin,200,0,0,200,
 Bank Balance and cash ,11110201,Bank - Gulf Bank - 09633119 - KWD,121.856,0,0,121.856,
 Bank Balance and cash ,11110202,Bank - Kuwait Finance House K.F.H - KWD,9236.382,161852.782,60010,111079.164,
 Bank Balance and cash ,11110203,Bank - Al Ahli Bank  ABK - KWD,72973.526,0,0,72973.526,
 Bank Balance and cash ,11110205,Bank - Burgan Bank - BGB - KWD,3925.61,0,0,3925.61,
 Bank Balance and cash ,11110206,Bank - National Bank - 0003868710101 - KWD,48928.761,112526.468,91975.261,69479.968,
 Bank Balance and cash ,11110207,Bank - Gulf Bank 06219808 - KWD,120412.743,296700.588,236985.681,180127.65,
 Bank Balance and cash ,11110210,Bank - Gulf Bank 04803038 - USD,4489.18,0,0,4489.18,
 Bank Balance and cash ,11110218,Bank - Bank of Bahrain Kuwait - BBK,180338.102,343624.559,278760.88,245201.781,
 Bank Balance and cash ,11110219,Bank - Fixed Deposit - 1,750000,0,0,750000,
 Bank Balance and cash ,11110220,Bank - Fixed Deposit - 2,750000,0,0,750000,
 Bank Balance and cash ,11110221,Bank - KIB - 011010223151,151488.711,59118.323,223000,-12392.966,
 Bank Balance and cash ,11110222,Bank - NBK - 2038952404 Sub A/C KWD,0,540,78,462,
 Cash & Chq in Hand ,11110301,Control a/c - Cheques on Hand,27932.033,201365.72,229295.715,2.038,
 Cash & Chq in Hand ,11110302,Control a/c - Post Dated Cheques,38656.923,45564.979,47506.107,36715.795,
 Cash & Chq in Hand ,11110303,Control a/c - Immature Cheques,-28815.787,24766.321,22825.193,-26874.659,
 Cash & Chq in Hand ,11110310,Control a/c - Post Dated Cheques - HHT,-9842.909,0,0,-9842.909,
 Account Receivable & Prepayments ,11110609,Control a/c - Staff Zain Bills Control,8474.527,800.594,103.05,9172.071,
 Cash & Chq in Hand ,11110610,Control a/c - Petty Cash - Cash Salary,1141.937,3875.18,3874.715,1142.402,
 Account Receivable & Prepayments ,11110612,Claims - HARIBO,4910,0,0,4910,
 Account payables and accruals ,11110614,Claims - BAHLSEN,1219.92,0,0,1219.92,
 Account Receivable & Prepayments ,11110618,Claims - LORENZ,1200,0,0,1200,
 Account Receivable & Prepayments ,11110619,FERGULF Kuwait Gen Trad Company,396712.39,130121.094,97652.517,429180.967,
 Account payables and accruals ,11110620,METCO (Middle East Telecommunication),7,0,0,7,
 Account payables and accruals ,11110621,Claims - Supplier Imports,26956.095,0,0,26956.095,
 Cash & Chq in Hand ,11110622,Control a/c - Petty Cash,0,5534.305,5534.305,0,
 Account Receivable & Prepayments ,11110623,Claims - FERGULF Market Spends,35618.565,0,0,35618.565,
 Account Receivable & Prepayments ,11110624,Claims - Al THIQA,-7277.169,7250,9975.534,-10002.703,
 Account Receivable & Prepayments ,11110625,Claims - BATEEL,2020,2020,2020,2020,
 Account Receivable & Prepayments ,11120101,Trade Receivable,1291026.897,1003286.209,885162.357,1409150.749,
 Account payables and accruals ,11120111,Provision - Debit Notes,-6136.45,0,0,-6136.45,
 Account Receivable & Prepayments ,11120112,Provision - Bad & Doubtful - CA,-221632.437,0,0,-221632.437,
 Account Receivable & Prepayments ,11120113,Provision - Bad & Doubtful - FSD,-278965.69,0,0,-278965.69,
 Account Receivable & Prepayments ,11120301,Prepaid - Rent,9282,0,0,9282,
 Account Receivable & Prepayments ,11120302,Refundable Deposit,5204.513,6499.5,0,11704.013,
 Account Receivable & Prepayments ,11120303,Prepaid - Expenses,4987.767,6499.5,921.523,10565.744,
 Account Receivable & Prepayments ,11120304,Prepaid - Insurance,603.367,0,2946.221,-2342.854,
 Account Receivable & Prepayments ,11120305,Due from Related Parties - Imad Sultan,800.804,0,0,800.804,
 Account Receivable & Prepayments ,11120306,Due from Related Parties - Hussain Jawad,70.242,0,0,70.242,
 Amount due from related parties ,11120307,Due from Related Parties - Mustafa Sultan,14032.321,0,0,14032.321,
 Amount due from related parties ,11120308,Due from Related Parties - Tawfiq Sultan,5655.103,0,0,5655.103,
 Account Receivable & Prepayments ,11120309,Due from Related Parties - Mohammed Tawfiq Sultan,16310.561,0,0,16310.561,
 Account payables and accruals ,11120326,Prepaid - Listing Fees,-37804,0,0,-37804,
 Account Receivable & Prepayments ,11120328,Prepaid - Market Rental,47657.08,0,8998,38659.08,
 Amount due to related parties ,11120401,Due from Related Parties - Bustan Wataniya,-232810.139,142604.261,67645.716,-157851.594,
 Amount due from related parties ,11120403,Due from Related Parties - Sultan Furnishing Co.,2471,0,0,2471,
 Account payables and accruals ,11120405,Due to Related Parties - Towel International Group,614.32,0,0,614.32,
 Amount due from related parties ,11120408,Due from Related Parties - W.J.Towell -Enhance UAE,-0.004,0,0,-0.004,
 Amount due to related parties ,11120412,Bustan Wataniya - Debit Note,-604.486,0,0,-604.486,
 Amount due from related parties ,11120414,Due from Related Parties - GOOD LIFE Trading Co.,124702.825,8604.269,5250,128057.094,
 Loan to Relate Party ,11120415,Loan To FERGULF Kuwait Gen.Trad.W.L.L,749700,0,0,749700,
 Amount due from related parties ,11120417,Due from Related Parties - BRAND AID,33001.618,1078.5,0,34080.118,
 Amount due to related parties ,11120419,Due from Related Parties - Sultan Int. Printing,-72277.254,0,0,-72277.254,
 Amount due from related parties ,11120420,Due from Related Parties - BRAND AID,26157.79,110.75,0,26268.54,
 Amount due from related parties ,11120421,Due from Related Parties - KUCM,-225,0,0,-225,
 Account Receivable & Prepayments ,100300975,MAHDY TAMAH MOHAMMED  - HR - 1015,45,22.5,0,67.5,
 Account Receivable & Prepayments ,110700048,NABIL MUSCATI - GEN - 2153,3746.3,0,0,3746.3,
 Account Receivable & Prepayments ,130601868,NOURAH D SH A ALAJMI - 1043,-200,0,200,-400,
 Account Receivable & Prepayments ,140700494A,MOHAMMAD AHMAD SALEEM SHAABAN - 2380,-250,0,250,-500,
 Account Receivable & Prepayments ,461600333,SOBHIE  AZHAB  ALALI - CA - 2081,-600,0,600,-1200,
 Account Receivable & Prepayments ,592801437,Saadoun Hashem Kayed Abbasi - 2001414,-1000,0,1000,-2000,
 Account Receivable & Prepayments ,592801449,Mohamed Ali Hussain Kahil - 2001426 (c/o bassem),-2000,0,2000,-4000,
 Account Receivable & Prepayments ,592801472,Alaa Mohamad Thalaj Supply Chain 2001447,-176,0,0,-176,
 Account Receivable & Prepayments ,592801473,Hend Ahmad Alkurdi Supply Chain 2001440,-168,0,0,-168,
 Inventories ,11140101,Inventory,1105044.355,832531.286,649330.123,1288245.518,
 Inventories ,11140102,Inventory - Delivery Note But Not Invoice,-364.095,530154.536,530160.001,-369.56,
 Inventories ,11140103,Inventory - Custom Charges,-3024.636,19662.1,21725.173,-5087.709,
 Inventories ,11140104,Inventory - Clearing Expenses,13650.196,9496.56,11787.045,11359.711,
 Inventories ,11140108,Inventory - Fright Charges,-1773.193,14884.355,14896.958,-1785.796,
 Inventories ,11140109,Inventory - Inventory Packing,-13129.232,102424.87,142772.671,-53477.033,
 Account payables and accruals ,11140112,Inventory - Demurrage-Port/Line,-73,0,0,-73,
 Inventories ,11140113,Inventory - Bank Charge(L/C & Policies),7871.111,233.261,0,8104.372,
 Inventories ,11140114,Inventory - Insurance Charges,-23334.92,1116.484,1298.791,-23517.227,
 Account payables and accruals ,11140115,Inventory - Unloading Charges,-105.667,0,0,-105.667,
 Account payables and accruals ,11140117,Inventory - Unpallete Container,-126.682,0,0,-126.682,
 Account Receivable & Prepayments ,11140118,Inventory - Unpallete - Ferrero,-0.002,0,0,-0.002,
 Account Receivable & Prepayments ,11140120,Stock Take Differences (VSM - Main),-68.592,0,0,-68.592,
 Inventories ,11140121,Inventory - Provision For Stock - CA,-6499.582,0,0,-6499.582,
 Inventories ,11140122,Inventory - Provision For Stock - FSD,-40732.466,0,0,-40732.466,
 Inventories ,11140201,Inventory - Goods In Transit,-198.045,605435.257,605431.439,-194.227,
 Property  and equipments ,11210101,Fixed Asset - Building & Warehousing,938115.42,0,0,938115.42,
 Property  and equipments ,11210102,Fixed Asset - Cars,707889.86,0,0,707889.86,
 Property  and equipments ,11210103,Fixed Asset - Furnitures,420903.17,0,0,420903.17,
 Property  and equipments ,11210104,Fixed Asset - Office Equipment,666097.262,1250,1250,666097.262,
 Property  and equipments ,11210105,Fixed Asset - Computers,281318.15,0,0,281318.15,
 Property  and equipments ,11210106,Fixed Asset - Machinery,-0.12,0,0,-0.12,
 Account Receivable & Prepayments ,11210107,Fixed Asset - Work In Progress,2083.333,0,0,2083.333,
 Property  and equipments ,11210108,Fixed Asset - Lease Hold Land,608400,0,0,608400,
 Property  and equipments ,11210301,Accumulated Depreciation - Building And Warehouse,-938116.618,0,0,-938116.618,
 Property  and equipments ,11210302,Accumulated  Depreciation - Cars,-655552.904,0,1249,-656801.904,
 Property  and equipments ,11210303,Accumulated Depreciation - Furniture,-418290.04,0,0,-418290.04,
 Property  and equipments ,11210304,Accumulated Depreciation - Office Equipment,-578626.614,0,8147,-586773.614,
 Property  and equipments ,11210305,Accumulated Depreciaton - Computers,-277374.319,0,475,-277849.319,
 Property  and equipments ,11210306,Accumulated Depreciation - Machinery,0.214,0,0,0.214,
 Loan to Relate Party ,11220101,Long Term Investment - GOODLIFE,121232.1,0,0,121232.1,
 Loan to Relate Party ,11220102,Long Term Investment - FERGULF Kuwait,304031,0,0,304031,
 Loan to Relate Party ,11220103,Long Term Investment - BRAND AID,141473,0,0,141473,
 Account payables and accruals ,22120101,Suppliers,-118415.685,561145.697,727199.277,-284469.265,
 Account payables and accruals ,22120103,Suppliers A&P - BK POT,0.178,0,0,0.178,
 Account payables and accruals ,22120107,Employee Payable,21187.475,5335,4608.128,21914.347,
 Account payables and accruals ,22220019,Provision - OSD 2014,-12123.209,0,0,-12123.209,
 Account payables and accruals ,22220034,Provision - Rebate 2015,11428.2,0,0,11428.2,
 Account payables and accruals ,22220035,Provision - Rental 2015,-59503.425,0,0,-59503.425,
 Account payables and accruals ,22220036,Provision - Rental 2018,-18222.418,0,0,-18222.418,
 Account payables and accruals ,22220037,Provision - Rebate 2018,-2671.871,0,0,-2671.871,
 Account payables and accruals ,22220038,Provision - Rebate 2019,-2441.189,0,0,-2441.189,
 Account payables and accruals ,22220039,Provision - Rental 2019,-10979.645,0,0,-10979.645,
 Employees end of service benefits ,22220101,Provision - Indemnity,-818895.368,12081.634,9017.388,-815831.122,
 Account payables and accruals ,22220102,Provision - Leave,-169891.472,14441.925,9348.635,-164798.182,
 Account payables and accruals ,22220103,Provision - Air Ticket,-185036.841,2230,4218.5,-187025.341,
 Account payables and accruals ,22220228,Provision - Market Spends,-23.866,0,0,-23.866,
 Account payables and accruals ,22220229,Supplier Claims (Debit Notes) - Trade Claims,53406.6,25737,0,79143.6,
 Account payables and accruals ,22220230,Provision - A&P 2020,-9494.457,0,0,-9494.457,
 Account payables and accruals ,22220233,Provision - A&P 2021,-57327.019,0,0,-57327.019,
 Account payables and accruals ,22220234,Provision - A&P 2022,-89428.258,0,0,-89428.258,
 Account payables and accruals ,22220235,Provision - A&P 2023,-23503.056,331012.357,73456.551,234052.75,
 Account payables and accruals ,22220236,Kitchen Treasure Pool A/C,2545.517,0,412,2133.517,
 Account payables and accruals ,22220237,Provision - A&P 2024,-93716.342,0,28000,-121716.342,
 Account payables and accruals ,22220238,Provision - A&P 2024 - FSD Ferrero,-25717,4415,5907,-27209,
 Statutory Reserve ,22220201,Equity & Reserves - Statutary Reserve,-781105.57,0,0,-781105.57,
 General Reserve ,22220202,Equity & Reserves - Voluntary Reserve,-626133.57,0,0,-626133.57,
 Fair Value Reserve ,22220203,Equity & Reserves - Fair Value Reserve,-49031,0,0,-49031,
 Account payables and accruals ,22230101,Provision - Expenses,-109076.866,0,0,-109076.866,
 Account payables and accruals ,22230104,Accrued Income,47260,5312,0,52572,
 Account payables and accruals ,22230105,Provision - Expense 2020,-308625.35,0,0,-308625.35,
 Account payables and accruals ,22230106,Provision - Expense 2022,-43792.871,0,0,-43792.871,
 Account payables and accruals ,22230107,Provision - Expense 2023,-726861.629,20440.507,79183.609,-785604.731,
 Share Capital ,33220101,Equity & Reserves - Share Capital,-1000000,0,0,-1000000,
 Loan to Relate Party ,33220103,Equity & Reserves - T I H Partners Current Account,249763.828,7281.287,329791.308,-72746.193,
 Retained earnings ,33330103,Equity & Reserves - Retained Earnings,-1290892.302,0,0,-1290892.302,
 Account payables and accruals ,99990101,Control a/c - Suspense Account (Payment),374.518,19195.431,19195.429,374.52,
 Inventories ,99990103,Control a/c - Suspense Account (Stock),0,0.87,0.87,0,
 Control A/c ,99990104,Control a/c - Customers Dr/Cr,64156.531,33837.228,33837.228,64156.531,
 Account payables and accruals ,99990108,Control a/c - KFH Co-Ops Collection Suspense,521.994,150535.548,202982.774,-51925.232,
 Account payables and accruals ,99990109,Control a/c - KFH Deduction,0,22837.273,22837.273,0,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
