SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,
 Distribution Costs ,55130163,Veh R&M - Isuzu 4/87110 - Cpd(Brn)-V24,710.977,111.555,0,822.532,
 Distribution Costs ,55130166,Veh R&M - Isuzu 7/27250 - Cpd(Brn)-V26,1347.25,65,0,1412.25,
 Distribution Costs ,55130167,Veh R&M - Isuzu 3/77831 - Log,1440.952,271.055,0,1712.007,
 Distribution Costs ,55130168,Veh R&M - Isuzu 3/77637 - Cpd(Brn)-V28,1429.227,215.056,0,1644.283,
 Distribution Costs ,55130169,Veh R&M - Toyota 5/31762 - Lt-V32,1178.183,25.25,0,1203.433,
 Distribution Costs ,55130173,Veh R&M - Toyota Hiace 9/71879 - Cpd(Lt)-V38,827.389,94.5,0,921.889,
 Distribution Costs ,55130176,Veh R&M - Isuzu 13/11116 - Log-V30,1117.747,147.555,0,1265.302,
 Distribution Costs ,55130177,Veh R&M - Isuzu 13/11282- Log-V31,1422.133,195,0,1617.133,
 Distribution Costs ,55130178,Veh R&M - Isuzu 17/53442-Log-V 34,990,66,0,1056,
 Distribution Costs ,55130179,Veh R&M - Toyota 3/11230 - Cpd(Lt)-V42,645.083,228.4,0,873.483,
 Distribution Costs ,55130180,Veh R&M - Toyota 3/14815 - Cpd(Lt)-V43,722.75,22.5,0,745.25,
 Distribution Costs ,55130182,Veh R&M - Nissan 11/58449 - Cpd-V29,274.75,0,0,274.75,
 Distribution Costs ,55130183,Veh R&M - Isuzu 11/78393 - Log-V39,1418.667,328.5,0,1747.167,
 Distribution Costs ,55130184,Veh R&M - Isuzu 11/89716 - Log-V40,1521.657,158,0,1679.657,
 Distribution Costs ,55130185,Veh R&M - Hyundai 11/74065 - Cpd-V33,178.5,0,0,178.5,
 Distribution Costs ,55130186,Veh R&M - Isuzu 12/83885 - Log-V41,1336.735,181,0,1517.735,
 Distribution Costs ,55130187,DENG FENG 11/58599  - BRN-V45,0,21,0,21,
 Distribution Costs ,55130189,Veh R&M - Hino 13/15597 - V47 Log,1168,173.25,0,1341.25,
 Distribution Costs ,55130190,Veh R&M - Van 13/53293 -V48 Cpd,1128.55,192.5,0,1321.05,
 Distribution Costs ,55130193,Veh R&M - 14/26180 - Log Bw Veh,15,0,0,15,
 Distribution Costs ,55130195,Veh R&M - 14/86107 - V52 Cpd Ethnic,1354.665,641,0,1995.665,
 Distribution Costs ,55130196,Veh R&M - 14/86011 -  V53 Cpd Ethnic,786.15,65,0,851.15,
 Distribution Costs ,55130197,Veh R&M - 14/48627 - V54 Cpd Ethnic,853.9,93.5,0,947.4,
 Administrative expenses ,55130198,Veh R&M - Fork Lift Maintenance,55,0,0,55,
 Distribution Costs ,55130199,Veh R&M - 14/62180 - V51 Log,1224.25,217,0,1441.25,
 Distribution Costs ,55130200,Veh R&M - 14/76310 - V50 Log,1343.75,163.5,0,1507.25,
 Distribution Costs ,55130202,Veh R&M - Toyota Coaster 19/64026 Transport Van,526.5,62,0,588.5,
 Distribution Costs ,55130203,Veh R&M - 22/60232 Isuzu Half Lorry 2023 Model Log,617,110.5,0,727.5,
 Distribution Costs ,55130204,Veh R&M - 22/60372 Isuzu Half Lorry 2023 Model Log,575.5,70.5,0,646,
 Distribution Costs ,55130205,Veh R&M - 22/60464 Isuzu Half Loory 2023 Model Log,632.75,86,0,718.75,
 Administrative expenses ,55150101,Audit Fees,2833.336,354.167,0,3187.503,
 Administrative expenses ,55150102,Legal Fees,23513.168,2939.146,0,26452.314,
 Administrative expenses ,55150103,Maintenance -Property,32235.918,4788.164,1244,35780.082,
 Administrative expenses ,55150104,Communication,7167.2,863.51,0,8030.71,
 Administrative expenses ,55150105,Stationary,10393.353,1383.221,0,11776.574,
 Administrative expenses ,55150106,Electricity & Water,19164.642,2395.563,0,21560.205,
 Administrative expenses ,55150107,Rents,206736.664,27248.333,0,233984.997,
 Administrative expenses ,55150108,Traveling Expenses,10742.389,1392.038,0,12134.427,
 Administrative expenses ,55150109,Subscription,1155.048,144.381,0,1299.429,
 Administrative expenses ,55150112,Computer Expenses,15688.003,1694.716,0,17382.719,
 Administrative expenses ,55150113,Courier & Postage,382.975,55.707,22,416.682,
 Administrative expenses ,55150114,Insurance & Others,16200,2025,0,18225,
 Administrative expenses ,55150115,Entertainments,7749.204,855.918,0,8605.122,
 Administrative expenses ,55150116,Office Expenses,15655.929,3163.352,1523,17296.281,
 Administrative expenses ,55150117,Bad & Doubtful Debts,4000,0,0,4000,
 Provision on obsolete inventories ,55150124,Obsolete Stock,-9000,0,0,-9000,
 Administrative expenses ,55150334,Social Security,8700.897,1170.906,113,9758.803,
 Administrative expenses ,55150336,Additional WHS,24634.2,2300,0,26934.2,
 Administrative expenses ,55150338,PENALTY & FINES,0,10,0,10,
 Distribution Costs ,55150339,Additional Trucks,1185,0,0,1185,
 Administrative expenses ,55150340,Mirna Expense,800,100,0,900,
 Administrative expenses ,55150341,Online Server,1000,100,0,1100,
 Administrative expenses ,55150344,Pantry Expenses,3650.669,434.763,152,3933.432,
 Administrative expenses ,55150345,Business Lunch,3954.249,578.203,0,4532.452,
 Administrative expenses ,55150348,Sabhan Warehouse Rent,160000,20000,0,180000,
 Management fees ,55150349,Management Fees - TIH,25609.336,3201.167,0,28810.503,
 Administrative expenses ,55150351,License,333,0,0,333,
 Administrative expenses ,55150352,AMC - Annual Maintenance Contract,13734.997,2838.333,0,16573.33,
 Administrative expenses ,55150353,ISO 9001:2015  22000:2018,2346.666,613.333,333,2626.999,
 Depreciation & amortization ,55160102,Depreciation - Cars,4369.772,1249,0,5618.772,
 Depreciation & amortization ,55160103,Depreciation -  Equipment,51525.63,8092,0,59617.63,
 Depreciation & amortization ,55160104,Depreciation - Computers,3605.329,321,0,3926.329,
 Finance Cost ,55170101,Bank Interest,1,2.25,0,3.25,
 Finance Cost ,55170102,Bank Charges,3226.28,270.754,0,3497.034,
 Finance Cost ,55170108,Interest Income - Goodlife,-8356,0,1132,-9488,
 Cash & Chq in Hand ,11110101,Cash on Hand,0,52899.838,52899.838,0,
 Cash & Chq in Hand ,11110102,Petty Cash - Head Office,911.204,11000,8816.629,3094.575,
 Cash & Chq in Hand ,11110120,Cash on Hand - HHT,1.173,5341.249,5342.835,-0.413,
 Cash & Chq in Hand ,11110122,Petty Cash - Imprest - Logistics,500,0,0,500,
 Cash & Chq in Hand ,11110123,Petty Cash - Imprest - HR,500,0,0,500,
 Cash & Chq in Hand ,11110125,Petty Cash - Imprest - Office Admin,200,0,0,200,
 Bank Balance and cash ,11110201,Bank - Gulf Bank - 09633119 - KWD,121.856,0,0,121.856,
 Bank Balance and cash ,11110202,Bank - Kuwait Finance House K.F.H - KWD,119.643,302492.943,0,302612.586,
 Bank Balance and cash ,11110203,Bank - Al Ahli Bank  ABK - KWD,72973.526,0,0,72973.526,
 Bank Balance and cash ,11110205,Bank - Burgan Bank - BGB - KWD,3925.61,0,0,3925.61,
 Bank Balance and cash ,11110206,Bank - National Bank - 0003868710101 - KWD,35175.621,107776.719,19829.73,123122.61,
 Bank Balance and cash ,11110207,Bank - Gulf Bank 06219808 - KWD,156819.634,111185.278,175725.451,92279.461,
 Bank Balance and cash ,11110210,Bank - Gulf Bank 04803038 - USD,4489.18,0,0,4489.18,
 Bank Balance and cash ,11110218,Bank - Bank of Bahrain Kuwait - BBK,135892.304,296784.587,359529.155,73147.736,
 Bank Balance and cash ,11110219,Bank - Fixed Deposit - 1,750000,0,0,750000,
 Bank Balance and cash ,11110220,Bank - Fixed Deposit - 2,750000,0,0,750000,
 Bank Balance and cash ,11110221,Bank - KIB - 011010223151,1000,0,0,1000,
 Cash & Chq in Hand ,11110301,Control a/c - Cheques on Hand,1.295,176092.467,174272.112,1821.65,
 Cash & Chq in Hand ,11110302,Control a/c - Post Dated Cheques,34015.228,64503.764,60234.537,38284.455,
 Cash & Chq in Hand ,11110303,Control a/c - Immature Cheques,-24175.542,29207.166,35296.598,-30264.974,
 Cash & Chq in Hand ,11110310,Control a/c - Post Dated Cheques - HHT,-9842.909,0,0,-9842.909,
 Account Receivable & Prepayments ,11110609,Control a/c - Staff Zain Bills Control,7155.292,793.611,128.68,7820.223,
 Cash & Chq in Hand ,11110610,Control a/c - Petty Cash - Cash Salary,47.352,3843.27,2749,1141.622,
 Account Receivable & Prepayments ,11110612,Claims - HARIBO,4910,0,0,4910,
 Account payables and accruals ,11110614,Claims - BAHLSEN,1219.92,0,0,1219.92,
 Account Receivable & Prepayments ,11110618,Claims - LORENZ,1200,0,0,1200,
 Account Receivable & Prepayments ,11110619,FERGULF Kuwait Gen Trad Company,378472.701,118213.725,152268.05,344418.376,
 Account payables and accruals ,11110620,METCO (Middle East Telecommunication),7,0,0,7,
 Account payables and accruals ,11110621,Claims - Supplier Imports,8799.635,0,3091.54,5708.095,
 Cash & Chq in Hand ,11110622,Control a/c - Petty Cash,0,7940.505,7940.505,0,
 Account Receivable & Prepayments ,11110623,Claims - FERGULF Market Spends,35618.565,0,0,35618.565,
 Account Receivable & Prepayments ,11110624,Claims - Al THIQA,4959.891,7250,17009.648,-4799.757,
 Account Receivable & Prepayments ,11110625,Claims - BATEEL,10100,2020,10100,2020,
 Account Receivable & Prepayments ,11120101,Trade Receivable,1437868.718,836858.104,1006998.606,1267728.216,
 Account payables and accruals ,11120111,Provision - Debit Notes,-6136.45,0,0,-6136.45,
 Account Receivable & Prepayments ,11120112,Provision - Bad & Doubtful - CA,-226828.437,0,0,-226828.437,
 Account Receivable & Prepayments ,11120113,Provision - Bad & Doubtful - FSD,-278965.69,0,0,-278965.69,
 Account Receivable & Prepayments ,11120301,Prepaid - Rent,3094,3094,0,6188,
 Account Receivable & Prepayments ,11120302,Refundable Deposit,5204.513,0,0,5204.513,
 Account Receivable & Prepayments ,11120303,Prepaid - Expenses,2915.144,3094,3681.581,2327.563,
 Account Receivable & Prepayments ,11120304,Prepaid - Insurance,6495.809,0,2946.221,3549.588,
 Account Receivable & Prepayments ,11120305,Due from Related Parties - Imad Sultan,800.804,0,0,800.804,
 Account Receivable & Prepayments ,11120306,Due from Related Parties - Hussain Jawad,70.242,0,0,70.242,
 Amount due from related parties ,11120307,Due from Related Parties - Mustafa Sultan,14032.321,0,0,14032.321,
 Amount due from related parties ,11120308,Due from Related Parties - Tawfiq Sultan,5655.103,0,0,5655.103,
 Account Receivable & Prepayments ,11120309,Due from Related Parties - Mohammed Tawfiq Sultan,16310.561,0,0,16310.561,
 Account payables and accruals ,11120326,Prepaid - Listing Fees,-39984,2180,0,-37804,
 Account Receivable & Prepayments ,11120328,Prepaid - Market Rental,65653.08,0,8998,56655.08,
 Amount due to related parties ,11120401,Due from Related Parties - Bustan Wataniya,-297482.987,52855.997,6351.308,-250978.298,
 Amount due from related parties ,11120403,Due from Related Parties - Sultan Furnishing Co.,2471,0,0,2471,
 Account payables and accruals ,11120405,Due to Related Parties - Towel International Group,614.32,0,0,614.32,
 Amount due from related parties ,11120408,Due from Related Parties - W.J.Towell -Enhance UAE,-0.004,0,0,-0.004,
 Amount due to related parties ,11120412,Bustan Wataniya - Debit Note,-604.486,0,0,-604.486,
 Amount due from related parties ,11120414,Due from Related Parties - GOOD LIFE Trading Co.,118197.651,20591.174,17295,121493.825,
 Loan to Relate Party ,11120415,Loan To FERGULF Kuwait Gen.Trad.W.L.L,749700,0,0,749700,
 Amount due from related parties ,11120417,Due from Related Parties - BRAND AID,27832.829,3390.9,0,31223.729,
 Amount due to related parties ,11120419,Due from Related Parties - Sultan Int. Printing,-72277.254,0,0,-72277.254,
 Amount due from related parties ,11120420,Due from Related Parties - BRAND AID,65786.79,340.5,40000,26127.29,
 Amount due from related parties ,11120421,Due from Related Parties - KUCM,-225,0,0,-225,
 Account Receivable & Prepayments ,100300975,MAHDY TAMAH MOHAMMED  - HR - 1015,0,22.5,0,22.5,
 Account Receivable & Prepayments ,110700048,NABIL MUSCATI - GEN - 2153,3746.3,0,0,3746.3,
 Account Receivable & Prepayments ,130601868,NOURAH D SH A ALAJMI - 1043,0,0,200,-200,
 Account Receivable & Prepayments ,461600333,SOBHIE  AZHAB  ALALI - CA - 2081,0,0,600,-600,
 Account Receivable & Prepayments ,592801437,Saadoun Hashem Kayed Abbasi - 2001414,0,0,1000,-1000,
 Account Receivable & Prepayments ,592801449,Mohamed Ali Hussain Kahil - 2001426 (c/o bassem),0,0,2000,-2000,
 Account Receivable & Prepayments ,592801473,Hend Ahmad Alkurdi Supply Chain 2001440,0,0,84,-84,
 Inventories ,11140101,Inventory,1122645.705,498322.564,577103.856,1043864.413,
 Inventories ,11140102,Inventory - Delivery Note But Not Invoice,-367.368,418814.491,418814.697,-367.574,
 Inventories ,11140103,Inventory - Custom Charges,-5659.436,5396.08,11157.36,-11420.716,
 Inventories ,11140104,Inventory - Clearing Expenses,14203.896,3440.75,9275.92,8368.726,
 Inventories ,11140108,Inventory - Fright Charges,-2686.533,5016.79,7258.637,-4928.38,
 Inventories ,11140109,Inventory - Inventory Packing,-10296.007,9165.069,9444.271,-10575.209,
 Account payables and accruals ,11140112,Inventory - Demurrage-Port/Line,-73,0,0,-73,
 Inventories ,11140113,Inventory - Bank Charge(L/C & Policies),8100.658,0,0,8100.658,
 Inventories ,11140114,Inventory - Insurance Charges,-23205.281,540.237,692.225,-23357.269,
 Account payables and accruals ,11140115,Inventory - Unloading Charges,-105.667,0,0,-105.667,
 Account payables and accruals ,11140117,Inventory - Unpallete Container,-126.682,0,0,-126.682,
 Account Receivable & Prepayments ,11140118,Inventory - Unpallete - Ferrero,-0.002,0,0,-0.002,
 Account Receivable & Prepayments ,11140120,Stock Take Differences (VSM - Main),-68.592,0,0,-68.592,
 Inventories ,11140121,Inventory - Provision For Stock - CA,-46499.582,40000,0,-6499.582,
 Inventories ,11140122,Inventory - Provision For Stock - FSD,-40732.466,0,0,-40732.466,
 Inventories ,11140201,Inventory - Goods In Transit,0,415994.856,416190.163,-195.307,
 Property  and equipments ,11210101,Fixed Asset - Building & Warehousing,938115.42,0,0,938115.42,
 Property  and equipments ,11210102,Fixed Asset - Cars,707889.86,0,0,707889.86,
 Property  and equipments ,11210103,Fixed Asset - Furnitures,420903.17,0,0,420903.17,
 Property  and equipments ,11210104,Fixed Asset - Office Equipment,645347.262,19500,0,664847.262,
 Property  and equipments ,11210105,Fixed Asset - Computers,280168.15,0,0,280168.15,
 Property  and equipments ,11210106,Fixed Asset - Machinery,-0.12,0,0,-0.12,
 Account Receivable & Prepayments ,11210107,Fixed Asset - Work In Progress,37083.333,0,35000,2083.333,
 Property  and equipments ,11210108,Fixed Asset - Lease Hold Land,608400,0,0,608400,
 Property  and equipments ,11210301,Accumulated Depreciation - Building And Warehouse,-938116.618,0,0,-938116.618,
 Property  and equipments ,11210302,Accumulated  Depreciation - Cars,-653054.904,0,1249,-654303.904,
 Property  and equipments ,11210303,Accumulated Depreciation - Furniture,-418290.04,0,0,-418290.04,
 Property  and equipments ,11210304,Accumulated Depreciation - Office Equipment,-562387.614,0,8092,-570479.614,
 Property  and equipments ,11210305,Accumulated Depreciaton - Computers,-276578.319,0,321,-276899.319,
 Property  and equipments ,11210306,Accumulated Depreciation - Machinery,0.214,0,0,0.214,
 Loan to Relate Party ,11220101,Long Term Investment - GOODLIFE,121232.1,0,0,121232.1,
 Loan to Relate Party ,11220102,Long Term Investment - FERGULF Kuwait,304031,0,0,304031,
 Loan to Relate Party ,11220103,Long Term Investment - BRAND AID,141473,0,0,141473,
 Account payables and accruals ,22120101,Suppliers,-151593.63,586247.296,516569.437,-81915.771,
 Account payables and accruals ,22120103,Suppliers A&P - BK POT,0.178,0,0,0.178,
 Account payables and accruals ,22120107,Employee Payable,17412.63,5910.643,2483.968,20839.305,
 Account payables and accruals ,22220019,Provision - OSD 2014,-12123.209,0,0,-12123.209,
 Account payables and accruals ,22220034,Provision - Rebate 2015,11428.2,0,0,11428.2,
 Account payables and accruals ,22220035,Provision - Rental 2015,-59503.425,0,0,-59503.425,
 Account payables and accruals ,22220036,Provision - Rental 2018,-18222.418,0,0,-18222.418,
 Account payables and accruals ,22220037,Provision - Rebate 2018,-2671.871,0,0,-2671.871,
 Account payables and accruals ,22220038,Provision - Rebate 2019,-2441.189,0,0,-2441.189,
 Account payables and accruals ,22220039,Provision - Rental 2019,-10979.645,0,0,-10979.645,
 Employees end of service benefits ,22220101,Provision - Indemnity,-801610.368,0,8921,-810531.368,
 Account payables and accruals ,22220102,Provision - Leave,-170865.102,7845.306,9572.193,-172591.989,
 Account payables and accruals ,22220103,Provision - Air Ticket,-180309.841,1520,4218.5,-183008.341,
 Account payables and accruals ,22220228,Provision - Market Spends,-23.866,0,0,-23.866,
 Account payables and accruals ,22220229,Supplier Claims (Debit Notes) - Trade Claims,32931.08,20475.52,0,53406.6,
 Account payables and accruals ,22220230,Provision - A&P 2020,-9494.457,0,0,-9494.457,
 Account payables and accruals ,22220233,Provision - A&P 2021,-57327.019,0,0,-57327.019,
 Account payables and accruals ,22220234,Provision - A&P 2022,-89428.258,0,0,-89428.258,
 Account payables and accruals ,22220235,Provision - A&P 2023,-23503.056,0,0,-23503.056,
 Account payables and accruals ,22220236,Kitchen Treasure Pool A/C,3185.517,0,369,2816.517,
 Account payables and accruals ,22220237,Provision - A&P 2024,-81000,0,12716.342,-93716.342,
 Account payables and accruals ,22220238,Provision - A&P 2024 - FSD Ferrero,-26237,0,2209,-28446,
 Account payables and accruals ,22229999,Provision - A&P General,-2682.266,2716.342,34.076,0,
 Statutory Reserve ,22220201,Equity & Reserves - Statutary Reserve,-781105.57,0,0,-781105.57,
 General Reserve ,22220202,Equity & Reserves - Voluntary Reserve,-626133.57,0,0,-626133.57,
 Fair Value Reserve ,22220203,Equity & Reserves - Fair Value Reserve,-49031,0,0,-49031,
 Account payables and accruals ,22230101,Provision - Expenses,-109076.866,0,0,-109076.866,
 Account payables and accruals ,22230104,Accrued Income,36012,5936,0,41948,
 Account payables and accruals ,22230105,Provision - Expense 2020,-308625.35,0,0,-308625.35,
 Account payables and accruals ,22230106,Provision - Expense 2022,-43792.871,0,0,-43792.871,
 Account payables and accruals ,22230107,Provision - Expense 2023,-595014.377,10271,82915.901,-667659.278,
 Share Capital ,33220101,Equity & Reserves - Share Capital,-1000000,0,0,-1000000,
 Loan to Relate Party ,33220103,Equity & Reserves - T I H Partners Current Account,280164.57,1000,15700.371,265464.199,
 Retained earnings ,33330103,Equity & Reserves - Retained Earnings,-1290892.302,0,0,-1290892.302,
 Account payables and accruals ,99990101,Control a/c - Suspense Account (Payment),437.019,16623.158,16623.158,437.019,
 Inventories ,99990103,Control a/c - Suspense Account (Stock),0,1.739,1.739,0,
 Control A/c ,99990104,Control a/c - Customers Dr/Cr,64156.532,7518.958,7518.958,64156.532,
 Account payables and accruals ,99990108,Control a/c - KFH Co-Ops Collection Suspense,521.994,163527.862,163527.862,521.994,
 Account payables and accruals ,99990109,Control a/c - KFH Deduction,0,3495.421,3495.421,0,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
