SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,
 Distribution Costs ,55120125,Staff Cost - Salary Recharge,-60831.482,0,8505.21,-69336.692,
 Distribution Costs ,55130101,Veh R&M - Mitsubish  #19/6744 - Log-V09,1737.95,32,0,1769.95,
 Distribution Costs ,55130113,Veh R&M - Veh R&M - Nissan#2/22404 - Log-V04,557.5,70.5,5,623,
 Distribution Costs ,55130136,Veh R&M - Mitsubishi 16/6825 -  Log-V12,1088.416,130.5,0,1218.916,
 Distribution Costs ,55130154,Veh R&M - Mitsubishi- 5/85020 -  Log-V15,971.45,179.333,5,1145.783,
 Distribution Costs ,55130155,Veh R&M - Mitsubishi-9/30258 -  Log-V16,1251.95,35.25,0,1287.2,
 Distribution Costs ,55130156,Veh R&M - Isuzu 19/17885 -  Log-V17,1106.45,341.234,0,1447.684,
 Distribution Costs ,55130157,Veh R&M - Mitsubishi-  5/84205 -  Log-V18,1204.028,277,100,1381.028,
 Distribution Costs ,55130158,Veh R&M - Mitsubishi   5/80820 -  Log-V19,832.977,180.6,0,1013.577,
 Distribution Costs ,55130159,Veh R&M - Mitsubishi   6/90521 -  Log-V20,1030.927,727.205,200,1558.132,
 Distribution Costs ,55130160,Veh R&M - Isuzu 4/87409 - Cpd(Brn)-V21,1661.227,118.75,0,1779.977,
 Distribution Costs ,55130161,Veh R&M - Isuzu 4/87196 - Cpd(Brn)-V22,873.978,133,0,1006.978,
 Distribution Costs ,55130162,Veh R&M - Isuzu 5/91368 - Cpd(Brn)-V23,526.75,195.5,0,722.25,
 Distribution Costs ,55130163,Veh R&M - Isuzu 4/87110 - Cpd(Brn)-V24,695.977,15,0,710.977,
 Distribution Costs ,55130166,Veh R&M - Isuzu 7/27250 - Cpd(Brn)-V26,1059,293.25,5,1347.25,
 Distribution Costs ,55130167,Veh R&M - Isuzu 3/77831 - Log,1154.977,285.975,0,1440.952,
 Distribution Costs ,55130168,Veh R&M - Isuzu 3/77637 - Cpd(Brn)-V28,1323.227,106,0,1429.227,
 Distribution Costs ,55130169,Veh R&M - Toyota 5/31762 - Lt-V32,500.35,697.833,20,1178.183,
 Distribution Costs ,55130173,Veh R&M - Toyota Hiace 9/71879 - Cpd(Lt)-V38,654.45,172.939,0,827.389,
 Distribution Costs ,55130176,Veh R&M - Isuzu 13/11116 - Log-V30,997.497,120.25,0,1117.747,
 Distribution Costs ,55130177,Veh R&M - Isuzu 13/11282- Log-V31,1225.8,196.333,0,1422.133,
 Distribution Costs ,55130178,Veh R&M - Isuzu 17/53442-Log-V 34,778.5,311.5,100,990,
 Distribution Costs ,55130179,Veh R&M - Toyota 3/11230 - Cpd(Lt)-V42,388.5,256.583,0,645.083,
 Distribution Costs ,55130180,Veh R&M - Toyota 3/14815 - Cpd(Lt)-V43,627.75,95,0,722.75,
 Distribution Costs ,55130182,Veh R&M - Nissan 11/58449 - Cpd-V29,192,82.75,0,274.75,
 Distribution Costs ,55130183,Veh R&M - Isuzu 11/78393 - Log-V39,1202.932,215.735,0,1418.667,
 Distribution Costs ,55130184,Veh R&M - Isuzu 11/89716 - Log-V40,1181.167,345.49,5,1521.657,
 Distribution Costs ,55130185,Veh R&M - Hyundai 11/74065 - Cpd-V33,178.5,0,0,178.5,
 Distribution Costs ,55130186,Veh R&M - Isuzu 12/83885 - Log-V41,1244,92.735,0,1336.735,
 Distribution Costs ,55130189,Veh R&M - Hino 13/15597 - V47 Log,1097,71,0,1168,
 Distribution Costs ,55130190,Veh R&M - Van 13/53293 -V48 Cpd,989.05,159.5,20,1128.55,
 Distribution Costs ,55130193,Veh R&M - 14/26180 - Log Bw Veh,15,0,0,15,
 Distribution Costs ,55130195,Veh R&M - 14/86107 - V52 Cpd Ethnic,1133.015,226.65,5,1354.665,
 Distribution Costs ,55130196,Veh R&M - 14/86011 -  V53 Cpd Ethnic,627.65,158.5,0,786.15,
 Distribution Costs ,55130197,Veh R&M - 14/48627 - V54 Cpd Ethnic,741.9,112,0,853.9,
 Administrative expenses ,55130198,Veh R&M - Fork Lift Maintenance,55,0,0,55,
 Distribution Costs ,55130199,Veh R&M - 14/62180 - V51 Log,1128.75,95.5,0,1224.25,
 Distribution Costs ,55130200,Veh R&M - 14/76310 - V50 Log,1147.75,196,0,1343.75,
 Distribution Costs ,55130202,Veh R&M - Toyota Coaster 19/64026 Transport Van,394.5,132,0,526.5,
 Distribution Costs ,55130203,Veh R&M - 22/60232 Isuzu Half Lorry 2023 Model Log,510,107,0,617,
 Distribution Costs ,55130204,Veh R&M - 22/60372 Isuzu Half Lorry 2023 Model Log,510,65.5,0,575.5,
 Distribution Costs ,55130205,Veh R&M - 22/60464 Isuzu Half Loory 2023 Model Log,513,119.75,0,632.75,
 Administrative expenses ,55150101,Audit Fees,2479.169,354.167,0,2833.336,
 Administrative expenses ,55150102,Legal Fees,20574.022,2939.146,0,23513.168,
 Administrative expenses ,55150103,Maintenance -Property,28797.481,6029.437,2591,32235.918,
 Administrative expenses ,55150104,Communication,6266.19,901.01,0,7167.2,
 Administrative expenses ,55150105,Stationary,9113.347,1280.007,0.001,10393.353,
 Administrative expenses ,55150106,Electricity & Water,16769.079,2395.563,0,19164.642,
 Administrative expenses ,55150107,Rents,179488.331,27248.333,0,206736.664,
 Administrative expenses ,55150108,Traveling Expenses,9450.351,1292.038,0,10742.389,
 Administrative expenses ,55150109,Subscription,1010.667,144.381,0,1155.048,
 Administrative expenses ,55150112,Computer Expenses,13993.287,2944.716,1250,15688.003,
 Administrative expenses ,55150113,Courier & Postage,345.268,37.707,0,382.975,
 Administrative expenses ,55150114,Insurance & Others,14175,2025,0,16200,
 Administrative expenses ,55150115,Entertainments,6893.286,855.918,0,7749.204,
 Administrative expenses ,55150116,Office Expenses,13671.777,2989.152,1005,15655.929,
 Administrative expenses ,55150117,Bad & Doubtful Debts,4000,0,0,4000,
 Provision on obsolete inventories ,55150124,Obsolete Stock,-9000,0,0,-9000,
 Administrative expenses ,55150334,Social Security,7529.214,1171.683,0,8700.897,
 Administrative expenses ,55150336,Additional WHS,23377.6,1256.6,0,24634.2,
 Distribution Costs ,55150339,Additional Trucks,1185,0,0,1185,
 Administrative expenses ,55150340,Mirna Expense,700,100,0,800,
 Administrative expenses ,55150341,Online Server,900,100,0,1000,
 Administrative expenses ,55150344,Pantry Expenses,3237.196,413.473,0,3650.669,
 Administrative expenses ,55150345,Business Lunch,3453.246,501.003,0,3954.249,
 Administrative expenses ,55150348,Sabhan Warehouse Rent,140000,20000,0,160000,
 Management fees ,55150349,Management Fees - TIH,22408.169,3201.167,0,25609.336,
 Administrative expenses ,55150351,License,333,0,0,333,
 Administrative expenses ,55150352,AMC - Annual Maintenance Contract,10738.331,2996.666,0,13734.997,
 Administrative expenses ,55150353,ISO 9001:2015  22000:2018,2013.333,613.333,280,2346.666,
 Depreciation & amortization ,55160102,Depreciation - Cars,3120.772,1249,0,4369.772,
 Depreciation & amortization ,55160103,Depreciation -  Equipment,44978.63,6547,0,51525.63,
 Depreciation & amortization ,55160104,Depreciation - Computers,3145.329,460,0,3605.329,
 Finance Cost ,55170101,Bank Interest,1,0,0,1,
 Finance Cost ,55170102,Bank Charges,2775.183,451.097,0,3226.28,
 Finance Cost ,55170108,Interest Income - Goodlife,-7173,0,1183,-8356,
 Cash & Chq in Hand ,11110101,Cash on Hand,0,48376.817,48376.817,0,
 Cash & Chq in Hand ,11110102,Petty Cash - Head Office,2167.255,6000,7256.051,911.204,
 Cash & Chq in Hand ,11110120,Cash on Hand - HHT,-0.014,4727.429,4726.242,1.173,
 Cash & Chq in Hand ,11110122,Petty Cash - Imprest - Logistics,500,0,0,500,
 Cash & Chq in Hand ,11110123,Petty Cash - Imprest - HR,500,0,0,500,
 Cash & Chq in Hand ,11110125,Petty Cash - Imprest - Office Admin,0,335.48,135.48,200,
 Bank Balance and cash ,11110201,Bank - Gulf Bank - 09633119 - KWD,121.856,0,0,121.856,
 Bank Balance and cash ,11110202,Bank - Kuwait Finance House K.F.H - KWD,112592.72,141551.923,254025,119.643,
 Bank Balance and cash ,11110203,Bank - Al Ahli Bank  ABK - KWD,72973.526,0,0,72973.526,
 Bank Balance and cash ,11110205,Bank - Burgan Bank - BGB - KWD,3925.61,0,0,3925.61,
 Bank Balance and cash ,11110206,Bank - National Bank - 0003868710101 - KWD,125061.829,123614.828,213501.036,35175.621,
 Bank Balance and cash ,11110207,Bank - Gulf Bank 06219808 - KWD,255169.501,234409.758,332759.625,156819.634,
 Bank Balance and cash ,11110210,Bank - Gulf Bank 04803038 - USD,4489.18,0,0,4489.18,
 Bank Balance and cash ,11110218,Bank - Bank of Bahrain Kuwait - BBK,300526.481,627701.071,792335.248,135892.304,
 Bank Balance and cash ,11110219,Bank - Fixed Deposit - 1,750000,0,0,750000,
 Bank Balance and cash ,11110220,Bank - Fixed Deposit - 2,750000,0,0,750000,
 Bank Balance and cash ,11110221,Bank - KIB - 011010223151,1000,0,0,1000,
 Cash & Chq in Hand ,11110301,Control a/c - Cheques on Hand,1.295,126797.869,126797.869,1.295,
 Cash & Chq in Hand ,11110302,Control a/c - Post Dated Cheques,48357.155,50122.056,64463.983,34015.228,
 Cash & Chq in Hand ,11110303,Control a/c - Immature Cheques,-41153.814,33550.164,16571.892,-24175.542,
 Cash & Chq in Hand ,11110310,Control a/c - Post Dated Cheques - HHT,-9842.909,0,0,-9842.909,
 Account Receivable & Prepayments ,11110609,Control a/c - Staff Zain Bills Control,6435.382,828.71,108.8,7155.292,
 Cash & Chq in Hand ,11110610,Control a/c - Petty Cash - Cash Salary,233.766,2473.586,2660,47.352,
 Account Receivable & Prepayments ,11110612,Claims - HARIBO,4910,0,0,4910,
 Account payables and accruals ,11110614,Claims - BAHLSEN,1219.92,0,0,1219.92,
 Account Receivable & Prepayments ,11110618,Claims - LORENZ,1200,0,0,1200,
 Account Receivable & Prepayments ,11110619,FERGULF Kuwait Gen Trad Company,328493.748,112165.161,62186.208,378472.701,
 Account payables and accruals ,11110620,METCO (Middle East Telecommunication),7,0,0,7,
 Account payables and accruals ,11110621,Claims - Supplier Imports,8719.635,80,0,8799.635,
 Cash & Chq in Hand ,11110622,Control a/c - Petty Cash,0,3493.845,3493.845,0,
 Account Receivable & Prepayments ,11110623,Claims - FERGULF Market Spends,35618.565,0,0,35618.565,
 Account Receivable & Prepayments ,11110624,Claims - Al THIQA,-2290.109,7250,0,4959.891,
 Account Receivable & Prepayments ,11110625,Claims - BATEEL,8080,2020,0,10100,
 Account Receivable & Prepayments ,11120101,Trade Receivable,1367355.407,929174.302,858660.991,1437868.718,
 Account payables and accruals ,11120111,Provision - Debit Notes,-6136.45,0,0,-6136.45,
 Account Receivable & Prepayments ,11120112,Provision - Bad & Doubtful - CA,-226828.437,0,0,-226828.437,
 Account Receivable & Prepayments ,11120113,Provision - Bad & Doubtful - FSD,-278965.69,0,0,-278965.69,
 Account Receivable & Prepayments ,11120301,Prepaid - Rent,3094,0,0,3094,
 Account Receivable & Prepayments ,11120302,Refundable Deposit,10079.513,0,4875,5204.513,
 Account Receivable & Prepayments ,11120303,Prepaid - Expenses,2364.531,1204.167,653.554,2915.144,
 Account Receivable & Prepayments ,11120304,Prepaid - Insurance,9442.03,0,2946.221,6495.809,
 Account Receivable & Prepayments ,11120305,Due from Related Parties - Imad Sultan,800.804,0,0,800.804,
 Account Receivable & Prepayments ,11120306,Due from Related Parties - Hussain Jawad,70.242,0,0,70.242,
 Amount due from related parties ,11120307,Due from Related Parties - Mustafa Sultan,14032.321,0,0,14032.321,
 Amount due from related parties ,11120308,Due from Related Parties - Tawfiq Sultan,5655.103,0,0,5655.103,
 Account Receivable & Prepayments ,11120309,Due from Related Parties - Mohammed Tawfiq Sultan,16310.561,0,0,16310.561,
 Account payables and accruals ,11120326,Prepaid - Listing Fees,-39984,0,0,-39984,
 Account Receivable & Prepayments ,11120328,Prepaid - Market Rental,55906.08,26486,16739,65653.08,
 Amount due to related parties ,11120401,Due from Related Parties - Bustan Wataniya,-297748.992,31518.995,31252.99,-297482.987,
 Amount due from related parties ,11120403,Due from Related Parties - Sultan Furnishing Co.,2471,0,0,2471,
 Account payables and accruals ,11120405,Due to Related Parties - Towel International Group,228.22,386.1,0,614.32,
 Amount due from related parties ,11120408,Due from Related Parties - W.J.Towell -Enhance UAE,-0.004,0,0,-0.004,
 Amount due to related parties ,11120412,Bustan Wataniya - Debit Note,-604.486,0,0,-604.486,
 Amount due from related parties ,11120414,Due from Related Parties - GOOD LIFE Trading Co.,114722.651,9682.8,6207.8,118197.651,
 Loan to Relate Party ,11120415,Loan To FERGULF Kuwait Gen.Trad.W.L.L,749700,0,0,749700,
 Amount due from related parties ,11120417,Due from Related Parties - BRAND AID,26386.579,1446.25,0,27832.829,
 Amount due to related parties ,11120419,Due from Related Parties - Sultan Int. Printing,-72277.254,0,0,-72277.254,
 Amount due from related parties ,11120420,Due from Related Parties - BRAND AID,65580.2,206.59,0,65786.79,
 Amount due from related parties ,11120421,Due from Related Parties - KUCM,-225,0,0,-225,
 Account Receivable & Prepayments ,21702559,RAJESH DAYANAND KEDAR - WH - 4066,7.5,0,7.5,0,
 Account Receivable & Prepayments ,100300975,MAHDY TAMAH MOHAMMED  - HR - 1015,360,22.5,382.5,0,
 Account Receivable & Prepayments ,110700048,NABIL MUSCATI - GEN - 2153,3746.3,0,0,3746.3,
 Account Receivable & Prepayments ,122401112,KHALED AYED EID ALDHUFEERI - GEN - 1027,31.5,0,31.5,0,
 Account Receivable & Prepayments ,131300262,NIDAL MOHAMAD YASIN - ITD - 1009,152.744,0,152.744,0,
 Account Receivable & Prepayments ,140101133,KHALEID AYADA HAMAAD - HR - 1014,-718.8,718.8,0,0,
 Account Receivable & Prepayments ,140700494A,MOHAMMAD AHMAD SALEEM SHAABAN - 2380,175,75,250,0,
 Account Receivable & Prepayments ,150902895,SAJEEVAN - FIN - 1008,0.829,0,0.829,0,
 Account Receivable & Prepayments ,152900546,MASHAEL MUDHI AWADH - GEN(KWT - 1025,-110,110,0,0,
 Account Receivable & Prepayments ,162501109,MANAHEL JASSIM HASAN SADEQ GEN(KWT)- 1036,-130,130,0,0,
 Account Receivable & Prepayments ,190903281,MARAE  ALI GOMAA - GIS - 4023,725,0,725,0,
 Account Receivable & Prepayments ,192600073,ALI CHECHEMI - GEN - 2155,-330.631,330.631,0,0,
 Account Receivable & Prepayments ,261501983,SADEK AL-SHACK ALI  - LOG - 3009,1287.25,0,1287.25,0,
 Account Receivable & Prepayments ,280201455,MOHAMMAD FAZLE HAQUE ASHRAFI - 2297,-142.693,142.693,0,0,
 Account Receivable & Prepayments ,400109877,AHMED RAMADAN ABDUL NASER MOTAWIE - CA - 2217,-14,14,0,0,
 Account Receivable & Prepayments ,400205173,IBRAHEM ABD AL HAFEEZ - CA - 2039,-257.548,257.548,0,0,
 Account Receivable & Prepayments ,400903227,NAZIMA PASH FATEH MOHAMMED - CA - 2112,12.497,0,12.497,0,
 Account Receivable & Prepayments ,410116776,MOHAMMAD ALDAYREE - CA - 2024,-86.739,86.739,0,0,
 Account Receivable & Prepayments ,410503039,SAYED FATHE ZAID - CA - 2040,1.411,0,1.411,0,
 Account Receivable & Prepayments ,410505579,AHMED FAHMY HASSAN MOHAMMED - CA - 2178,-77.43,77.43,0,0,
 Account Receivable & Prepayments ,411011325,ADHAM SALAHELDIN AHMED ISMAIL - CA - 2215,-132.54,132.54,0,0,
 Account Receivable & Prepayments ,411901532,REFAT MOKHTAR ALERYAN  - CA - 2029,-9.01,9.01,0,0,
 Account Receivable & Prepayments ,421404572,MOHAMOUD KOTB AHMED EI - CA - 2103,0.4,0,0.4,0,
 Account Receivable & Prepayments ,422004585,AHMED JAMAL ALI AHMED - CA - 2198,-138.87,138.87,0,0,
 Account Receivable & Prepayments ,422203149,ADEL SALAH MOHAMED ANTAR - CA - 2144,2.93,0,2.93,0,
 Account Receivable & Prepayments ,422702694,MOHMOUD MARIEH MAHMOUD - CA - 2026,-134.56,134.56,0,0,
 Account Receivable & Prepayments ,422800678,SAAD  MESSAYER - CA - 2007,991,0,991,0,
 Account Receivable & Prepayments ,428510050,KARAM YOUNIS REYAD EITAHER-CA-2248,-14.55,14.55,0,0,
 Account Receivable & Prepayments ,430302097,ESAM ADEL  MAHAMED - CA - 2054,0.52,0,0.52,0,
 Account Receivable & Prepayments ,431702537,Amro Ahmed Younis Bekhit - CA - 2163,0.396,0,0.396,0,
 Account Receivable & Prepayments ,431804635,MOHAMED GAMAL KAMAL SHEHATA - CA - 2233,-127,127,0,0,
 Account Receivable & Prepayments ,432503023,NASER IBRAHEM MORSY - CA - 2049,-306.84,306.84,0,0,
 Account Receivable & Prepayments ,440102252,HUSSAIN HAFEZ AMIN - CA - 2036,-2.88,2.88,0,0,
 Account Receivable & Prepayments ,451006288,SAHEER BOMANE NJALORAT - CA - 2069,-100.81,100.81,0,0,
 Account Receivable & Prepayments ,451305582,Abhilash Komalam Vikram - CA - 2149,-18,18,0,0,
 Account Receivable & Prepayments ,451404791,ASIF MAHTHASH NADENMAL THAZHAYIL - CA - 2227,-37.18,37.18,0,0,
 Account Receivable & Prepayments ,451510433,LIBIMON BABY - CA - 2221,-99.13,99.13,0,0,
 Account Receivable & Prepayments ,453001754,RASHID ATHOORUVALAPPIL MOIDUTTY - CA - 2174,0.87,0,0.87,0,
 Account Receivable & Prepayments ,461600333,SOBHIE  AZHAB  ALALI - CA - 2081,10003,0,10003,0,
 Account Receivable & Prepayments ,461803808,Regeio Llanita Gito - CA - 2151,0.4,0,0.4,0,
 Account Receivable & Prepayments ,470110746,ABDALLA SALAH AHMED HASSANIN - CA - 2172,0.42,0,0.42,0,
 Account Receivable & Prepayments ,470903702,EKRAMY AHMED AL SAYED ABDUL KARIM - CA - 2201,0.4,0,0.4,0,
 Account Receivable & Prepayments ,471702176,MARCOS ALEXO REBELLO - CA - 2102,-134.13,134.13,0,0,
 Account Receivable & Prepayments ,471805153,DENNIS PAYUYO ASUNCION - CA - 2186,-57,57,0,0,
 Account Receivable & Prepayments ,472900833,KHALED YOUSEF - CA - 2076,106.482,0,106.482,0,
 Account Receivable & Prepayments ,481201548,HUSSEIN SADEK - CA - 2023,1800.51,0,1800.51,0,
 Account Receivable & Prepayments ,481202306,MUJEEB PARKER HASSAN - CA - 2133,5,0,5,0,
 Account Receivable & Prepayments ,481402111,YAHIA ZAKARIYA FAHME - CA - 2021,-307.15,307.15,0,0,
 Account Receivable & Prepayments ,481502923,MAHMOUD HAMADA YOUSEEF - CA - 2078,-260,260,0,0,
 Account Receivable & Prepayments ,481701353,MOHAMAD ABD AL AZEEM - CA - 2055,20,0,20,0,
 Account Receivable & Prepayments ,481702675,EMAD ALI MOHAMED IBRAHIM - CA - 2210,1.57,0,1.57,0,
 Account Receivable & Prepayments ,490902084,Rohan Chaminda Werasekara Dindubabduge - CA - 2150,1.41,0,1.41,0,
 Account Receivable & Prepayments ,492602317,RAGEH OSMAN MOHAMD FADEL - CA - 2239,1.76,0,1.76,0,
 Account Receivable & Prepayments ,522204694,HAMDI RADWAN - WHS - 4033,-9.4,9.4,0,0,
 Account Receivable & Prepayments ,522502791,ZULFIQAR ALI HUSSAIN ASHIQ - WHS - 4030,999.43,0,999.43,0,
 Account Receivable & Prepayments ,522602621,ADEEL KAMES ABDUSALAM - WHS - 4009,-4.3,4.3,0,0,
 Account Receivable & Prepayments ,530901988,ANWAR ABDEL HADE - WHS - 3007,17,0,17,0,
 Account Receivable & Prepayments ,531603465,SHENAMADY BASHER MOH - WHS - 4007,-3816,3816,0,0,
 Account Receivable & Prepayments ,560114109,EJAZ TAHIR SANGE - WHS - 4053,12,0,12,0,
 Account Receivable & Prepayments ,570402103,GADDAM VITTAL DAS - WHS - 4056,-99.1,99.1,0,0,
 Account Receivable & Prepayments ,582701929,MAJEED DAWOOD ALEKAR - WHS - 4032,171,0,171,0,
 Account Receivable & Prepayments ,583102392,MOSTAFA MAHDY - WHS - 4022,44.444,0,44.444,0,
 Account Receivable & Prepayments ,592801307,MOTAMED ELSAYED MOHAMED MOHAMED -CPD - 2247,-88.52,88.52,0,0,
 Account Receivable & Prepayments ,592801315,GHAREEB ALSAYED MAHMOUD MURSI ABU ALELA  - 3020,100,0,100,0,
 Account Receivable & Prepayments ,592801323,RONNIE NALAM - 2280,1.01,0,1.01,0,
 Account Receivable & Prepayments ,592801330,RUSSEL FRANCISCO  - 2279,0.4,0,0.4,0,
 Account Receivable & Prepayments ,592801332,JAMAL ABDOH KAREEM MOHAMMAD  - 2289,-140,140,0,0,
 Account Receivable & Prepayments ,592801334,SANJAY KUMAR NIRMAL ASHRAFI LAL  - 2303,-0.004,0.004,0,0,
 Account Receivable & Prepayments ,592801337,WAEL ABDULMOHSEN ABDULKAREEM AMMAR  - 2305,-0.09,0.09,0,0,
 Account Receivable & Prepayments ,592801339,ABDUL JABBAR KUNHALAKATH CHERIYABAVA - 2360,-99.2,99.2,0,0,
 Account Receivable & Prepayments ,592801340,NISHAD MANDALI KUNDIL - 2367,-199.54,199.54,0,0,
 Account Receivable & Prepayments ,592801343,SAJJAD NASRUDDIN ISMIL WALELY  - 4068,-25,25,0,0,
 Account Receivable & Prepayments ,592801345,PAULO TABASA - 2266,-199.29,199.29,0,0,
 Account Receivable & Prepayments ,592801354,RAMADHAN ALSHERBEENI RAMADHAN MOHAMMAD -2343,1247.88,0,1247.88,0,
 Account Receivable & Prepayments ,592801361,JAIGEE JOHN 4089,75.666,0,75.666,0,
 Account Receivable & Prepayments ,592801368,SIKANDAR TAJUDDIN HALDE  - 2320,0.19,0,0.19,0,
 Account Receivable & Prepayments ,592801369,RAFI SYED SYED JAFAR - 4079,-30.654,30.654,0,0,
 Account Receivable & Prepayments ,592801371,ALI ABDULJAWAD ALI MOHAMMAD - 2378,-75,75,0,0,
 Account Receivable & Prepayments ,592801372,KESAV LAL KALAL  - 4070,-5,5,0,0,
 Account Receivable & Prepayments ,592801380,MOHAMED SAIED HAMADY SAIED-2356,-110,110,0,0,
 Account Receivable & Prepayments ,592801384,Mostafa Ibrahim Mursi Ata - 2370,35,0,35,0,
 Account Receivable & Prepayments ,592801385,Shabeer Kunnumpurath - 2393,-84.9,84.9,0,0,
 Account Receivable & Prepayments ,592801388,Shehata Shawky Mohamed Yossef  - 2374,-218.79,218.79,0,0,
 Account Receivable & Prepayments ,592801397,Mohamedu Illiyas  - 2357,-112,112,0,0,
 Account Receivable & Prepayments ,592801399,Veera Venkata Naga Srinu Tirumani   - 2408,-200,200,0,0,
 Account Receivable & Prepayments ,592801401,Mahmoud Ali Sadek Mahmoud  - 2404,0.81,0,0.81,0,
 Account Receivable & Prepayments ,592801402,Mahmoud Mohamed Abdelkader Kwatin  - 2388,-35,35,0,0,
 Account Receivable & Prepayments ,592801403,Ibrahim Abdelmoniem Ibrahim Abdelnaeim  - 2391,-150,150,0,0,
